city,state,postcode,country,can_contact,sold_date,event_date,event_desc,num_tickets,estimated_price,is_international,region_category,sold_month,event_month,days_until_event,total_value
Oatley,NSW,2223,AU,Y,2025-02-28,2025-04-17,Single Day Entry,4,50,False,Australia,2025-02,2025-04,48,200
Riverwood,NSW,2210,AU,Y,2025-03-01,2025-04-16,Single Day Entry,4,50,False,Australia,2025-03,2025-04,46,200
Singapore,,358719,SG,N,2025-03-02,2025-04-17,Single Day Entry,3,50,True,International,2025-03,2025-04,46,150
Shellharbour,NSW,2529,AU,Y,2025-03-03,2025-04-17,Single Day Entry,4,50,False,Australia,2025-03,2025-04,45,200
Berkshire Park,NSW,2765,AU,Y,2025-03-04,2025-04-12,Single Day Entry,3,50,False,Australia,2025-03,2025-04,39,150
Marrickville,NSW,2204,AU,N,2025-03-05,2025-04-23,Donation,1,10,False,Australia,2025-03,2025-04,49,10
Marrickville,NSW,2204,AU,N,2025-02-24,2025-04-12,Single Day Entry,2,50,False,Australia,2025-02,2025-04,47,100
Oran Park,NSW,2570,AU,Y,2025-02-24,2025-04-12,Single Day Entry,2,50,False,Australia,2025-02,2025-04,47,100
Oran Park,NSW,2570,AU,Y,2025-02-24,2025-04-12,Single Day Entry,1,50,False,Australia,2025-02,2025-04,47,50
Wollongong,NSW,2500,AU,Y,2025-02-25,2025-04-16,Big Bush BBQ,4,20,False,Australia,2025-02,2025-04,50,80
Wollongong,NSW,2500,AU,Y,2025-02-26,2025-04-16,Reserved Seating,1,50,False,Australia,2025-02,2025-04,49,50
Wollongong,NSW,2500,AU,Y,2025-02-27,2025-04-16,Reserved Seating,1,50,False,Australia,2025-02,2025-04,48,50
Wollongong,NSW,2500,AU,Y,2025-02-24,2025-04-16,Reserved Seating,1,50,False,Australia,2025-02,2025-04,51,50
West Hoxton,NSW,2171,AU,N,2025-02-24,2025-04-16,Single Day Entry,2,50,False,Australia,2025-02,2025-04,51,100
New Lambton,NSW,2305,AU,Y,2025-02-24,2025-04-16,Single Day Entry,1,50,False,Australia,2025-02,2025-04,51,50
New Lambton,NSW,2305,AU,Y,2025-02-24,2025-04-16,Single Day Entry,4,50,False,Australia,2025-02,2025-04,51,200
Bankstown,NSW,2200,AU,Y,2025-02-25,2025-04-12,Single Day Entry,2,50,False,Australia,2025-02,2025-04,46,100
Bankstown,NSW,2200,AU,Y,2025-02-26,2025-04-12,Single Day Entry,1,50,False,Australia,2025-02,2025-04,45,50
St Clair,NSW,2759,AU,Y,2025-02-27,2025-04-17,Dino Adventures,5,25,False,Australia,2025-02,2025-04,49,125
St Clair,NSW,2759,AU,Y,2025-02-24,2025-04-17,Reserved Seating,2,50,False,Australia,2025-02,2025-04,52,100
St Clair,NSW,2759,AU,Y,2025-02-24,2025-04-17,Reserved Seating,1,50,False,Australia,2025-02,2025-04,52,50
Holsworthy,NSW,2173,AU,N,2025-02-24,2025-04-12,Single Day Entry,2,50,False,Australia,2025-02,2025-04,47,100
Parramatta,NSW,2153,AU,Y,2025-02-24,2025-04-12,Single Day Entry,1,50,False,Australia,2025-02,2025-04,47,50
City,ACT,2601,AU,Y,2025-02-24,2025-04-12,Single Day Entry,1,50,False,Australia,2025-02,2025-04,47,50
Mount Hawthorn,WA,6016,AU,N,2025-02-24,2025-04-15,Bianco - The Viewing,2,25,False,Australia,2025-02,2025-04,50,50
Mount Hawthorn,WA,6016,AU,N,2025-02-24,2025-04-15,Reserved Seating,2,50,False,Australia,2025-02,2025-04,50,100
Mount Hawthorn,WA,6016,AU,N,2025-03-01,2025-04-23,Give & Gather Bag,2,15,False,Australia,2025-03,2025-04,53,30
Mudgee,NSW,2850,AU,N,2025-03-02,2025-04-12,Single Day Entry,1,50,False,Australia,2025-03,2025-04,41,50
Mudgee,NSW,2850,AU,N,2025-03-03,2025-04-12,Single Day Entry,4,50,False,Australia,2025-03,2025-04,40,200
nan,,,,N,2025-03-04,2025-04-17,Reserved Seating,1,50,True,International,2025-03,2025-04,44,50
nan,,,,N,2025-03-05,2025-04-11,Single Day Entry,1,50,True,International,2025-03,2025-04,37,50
Mosman,NSW,2088,AU,Y,2025-02-24,2025-04-12,Dino Adventures,4,25,False,Australia,2025-02,2025-04,47,100
Mosman,NSW,2088,AU,Y,2025-02-24,2025-04-12,Single Day Entry,4,50,False,Australia,2025-02,2025-04,47,200
Speers Point,NSW,2284,AU,Y,2025-02-24,2025-04-12,Single Day Entry,2,50,False,Australia,2025-02,2025-04,47,100
Jewells,NSW,2280,AU,Y,2025-02-24,2025-04-17,Single Day Entry,2,50,False,Australia,2025-02,2025-04,52,100
nan,,,,N,2025-02-24,2025-04-12,Single Day Entry,1,50,True,International,2025-02,2025-04,47,50
nan,,,,N,2025-02-25,2025-04-12,Single Day Entry,1,50,True,International,2025-02,2025-04,46,50
Peakhurst,NSW,2210,AU,Y,2025-02-26,2025-04-16,Single Day Entry,4,50,False,Australia,2025-02,2025-04,49,200
Captains Flat,NSW,2623,AU,Y,2025-02-27,2025-04-12,Bianco - The Viewing,2,25,False,Australia,2025-02,2025-04,44,50
Captains Flat,NSW,2623,AU,Y,2025-02-28,2025-04-12,Single Day Entry,2,50,False,Australia,2025-02,2025-04,43,100
Panania,NSW,2213,AU,N,2025-03-01,2025-04-12,Single Day Entry,2,50,False,Australia,2025-03,2025-04,42,100
Trundle,NSW,2875,AU,Y,2025-03-02,2025-04-18,After 4pm Entry,2,35,False,Australia,2025-03,2025-04,47,70
Trundle,NSW,2875,AU,Y,2025-03-03,2025-04-18,After 4pm Entry,2,35,False,Australia,2025-03,2025-04,46,70
nan,,,,N,2025-03-04,2025-04-11,Single Day Entry,1,50,True,International,2025-03,2025-04,38,50
Hurstville,NSW,2220,AU,Y,2025-03-05,2025-04-17,Single Day Entry,2,50,False,Australia,2025-03,2025-04,43,100
Parramatta,NSW,2150,AU,N,2025-03-06,2025-04-12,Single Day Entry,1,50,False,Australia,2025-03,2025-04,37,50
Shellharbour,NSW,2529,AU,N,2025-02-24,2025-04-15,Reserved Seating,2,50,False,Australia,2025-02,2025-04,50,100
Broadwater,NSW,2472,AU,Y,2025-02-24,2025-04-15,Bianco - The Viewing,2,25,False,Australia,2025-02,2025-04,50,50
Broadwater,NSW,2472,AU,Y,2025-02-25,2025-04-15,Reserved Seating,2,50,False,Australia,2025-02,2025-04,49,100
Canley Vale,NSW,2166,AU,Y,2025-02-26,2025-04-17,Single Day Entry,1,50,False,Australia,2025-02,2025-04,50,50
North Bondi,NSW,2026,AU,N,2025-02-27,2025-04-12,Single Day Entry,2,50,False,Australia,2025-02,2025-04,44,100
Jesmond,NSW,2299,AU,Y,2025-02-24,2025-04-12,Single Day Entry,1,50,False,Australia,2025-02,2025-04,47,50
Jesmond,NSW,2299,AU,Y,2025-02-24,2025-04-12,Single Day Entry,2,50,False,Australia,2025-02,2025-04,47,100
nan,,,,N,2025-02-24,2025-04-17,Reserved Seating,1,50,True,International,2025-02,2025-04,52,50
Cooma,NSW,2630,AU,N,2025-02-24,2025-04-12,Single Day Entry,2,50,False,Australia,2025-02,2025-04,47,100
Cooma,NSW,2630,AU,N,2025-02-24,2025-04-12,Single Day Entry,1,50,False,Australia,2025-02,2025-04,47,50
Macquarie Park,NSW,2113,AU,N,2025-02-24,2025-04-14,Big Bush BBQ,3,20,False,Australia,2025-02,2025-04,49,60
Goulburn,NSW,2580,AU,N,2025-02-24,2025-04-12,Dino Adventures,2,25,False,Australia,2025-02,2025-04,47,50
Goulburn,NSW,2580,AU,N,2025-02-24,2025-04-12,Single Day Entry,2,50,False,Australia,2025-02,2025-04,47,100
Annandale,NSW,2038,AU,Y,2025-02-24,2025-04-15,After 4pm Entry,1,35,False,Australia,2025-02,2025-04,50,35
Kentlyn,NSW,2560,AU,N,2025-02-24,2025-04-22,Single Day Entry,4,50,False,Australia,2025-02,2025-04,57,200
Carlingford,NSW,2118,AU,N,2025-02-24,2025-04-16,Single Day Entry,2,50,False,Australia,2025-02,2025-04,51,100
Carlingford,NSW,2118,AU,N,2025-02-24,2025-04-16,Single Day Entry,1,50,False,Australia,2025-02,2025-04,51,50
Conder,ACT,2906,AU,N,2025-02-24,2025-04-18,After 4pm Entry,2,35,False,Australia,2025-02,2025-04,53,70
Toronto,NSW,2283,AU,Y,2025-02-24,2025-04-15,Reserved Seating,4,50,False,Australia,2025-02,2025-04,50,200
Corrimal,NSW,2518,AU,Y,2025-02-24,2025-04-18,Reserved Seating,8,50,False,Australia,2025-02,2025-04,53,400
Coatesville,,793,NZ,N,2025-02-24,2025-04-22,Single Day Entry,4,50,True,International,2025-02,2025-04,57,200
Blackwall,NSW,2256,AU,Y,2025-02-24,2025-04-15,Reserved Seating,2,50,False,Australia,2025-02,2025-04,50,100
Blackwall,NSW,2256,AU,Y,2025-02-24,2025-04-15,Reserved Seating,1,50,False,Australia,2025-02,2025-04,50,50
Blackwall,NSW,2256,AU,Y,2025-02-24,2025-04-15,Reserved Seating,2,50,False,Australia,2025-02,2025-04,50,100
Alexandra Hills,QLD,4161,AU,N,2025-02-24,2025-04-12,Single Day Entry,2,50,False,Australia,2025-02,2025-04,47,100
South Turramurra,NSW,2074,AU,N,2025-02-24,2025-04-17,Reserved Seating,4,50,False,Australia,2025-02,2025-04,52,200
Albion Park Rail,NSW,2527,AU,Y,2025-02-24,2025-04-12,Single Day Entry,1,50,False,Australia,2025-02,2025-04,47,50
Albion Park Rail,NSW,2527,AU,Y,2025-02-24,2025-04-12,Single Day Entry,1,50,False,Australia,2025-02,2025-04,47,50
Rouse Hill,NSW,2155,AU,N,2025-02-24,2025-04-17,Single Day Entry,2,50,False,Australia,2025-02,2025-04,52,100
Rutherford,NSW,2320,AU,N,2025-02-24,2025-04-12,Single Day Entry,2,50,False,Australia,2025-02,2025-04,47,100
Moggill,QLD,4070,AU,Y,2025-02-24,2025-04-18,Big Bush BBQ,3,20,False,Australia,2025-02,2025-04,53,60
Moggill,QLD,4070,AU,Y,2025-02-24,2025-04-18,Reserved Seating,4,50,False,Australia,2025-02,2025-04,53,200
Moggill,QLD,4070,AU,Y,2025-02-24,2025-04-23,Give & Gather Bag,1,15,False,Australia,2025-02,2025-04,58,15
Rosebery,NSW,2018,AU,Y,2025-02-24,2025-04-16,Single Day Entry,4,50,False,Australia,2025-02,2025-04,51,200
Baulkham Hills,NSW,2153,AU,Y,2025-02-24,2025-04-17,Single Day Entry,4,50,False,Australia,2025-02,2025-04,52,200
Springwood,NSW,2777,AU,Y,2025-02-24,2025-04-16,Dino Adventures,3,25,False,Australia,2025-02,2025-04,51,75
Springwood,NSW,2777,AU,Y,2025-02-24,2025-04-16,Single Day Entry,1,50,False,Australia,2025-02,2025-04,51,50
Springwood,NSW,2777,AU,Y,2025-02-24,2025-04-16,Single Day Entry,2,50,False,Australia,2025-02,2025-04,51,100
Springwood,NSW,2777,AU,Y,2025-02-24,2025-04-23,Give & Gather Bag,1,15,False,Australia,2025-02,2025-04,58,15
Leichhardt,NSW,2040,AU,Y,2025-02-24,2025-04-15,Reserved Seating,1,50,False,Australia,2025-02,2025-04,50,50
Leichhardt,NSW,2040,AU,Y,2025-02-24,2025-04-15,Reserved Seating,3,50,False,Australia,2025-02,2025-04,50,150
Leichhardt,NSW,2040,AU,Y,2025-02-24,2025-04-15,Reserved Seating,2,50,False,Australia,2025-02,2025-04,50,100
Elderslie,NSW,2570,AU,Y,2025-02-24,2025-04-16,Reserved Seating,1,50,False,Australia,2025-02,2025-04,51,50
Elderslie,NSW,2570,AU,Y,2025-02-24,2025-04-16,Reserved Seating,1,50,False,Australia,2025-02,2025-04,51,50
Castlehill,NSW,2154,AU,N,2025-02-24,2025-04-16,Single Day Entry,2,50,False,Australia,2025-02,2025-04,51,100
Kirrawee,NSW,2232,AU,Y,2025-02-24,2025-04-12,Single Day Entry,2,50,False,Australia,2025-02,2025-04,47,100
nan,,,,N,2025-02-24,2025-04-15,Reserved Seating,2,50,True,International,2025-02,2025-04,50,100
Campbelltown,NSW,2560,AU,Y,2025-02-24,2025-04-12,Single Day Entry,4,50,False,Australia,2025-02,2025-04,47,200
Claymore,NSW,2559,AU,Y,2025-02-24,2025-04-12,Single Day Entry,1,50,False,Australia,2025-02,2025-04,47,50
Tomerong,NSW,2540,AU,Y,2025-02-24,2025-04-22,Single Day Entry,4,50,False,Australia,2025-02,2025-04,57,200
Tomerong,NSW,2540,AU,Y,2025-02-24,2025-04-22,Single Day Entry,1,50,False,Australia,2025-02,2025-04,57,50
Tomerong,NSW,2540,AU,Y,2025-02-24,2025-04-22,Single Day Entry,1,50,False,Australia,2025-02,2025-04,57,50
Tomerong,NSW,2540,AU,Y,2025-02-24,2025-04-22,Single Day Entry,1,50,False,Australia,2025-02,2025-04,57,50
South Windsor,NSW,2756,AU,N,2025-02-24,2025-04-12,Single Day Entry,2,50,False,Australia,2025-02,2025-04,47,100
St Ives,NSW,2075,AU,Y,2025-02-24,2025-04-16,After 4pm Entry,1,35,False,Australia,2025-02,2025-04,51,35
Norwest,NSW,2153,AU,N,2025-02-24,2025-04-17,Single Day Entry,1,50,False,Australia,2025-02,2025-04,52,50
Norwest,NSW,2153,AU,N,2025-02-24,2025-04-17,Single Day Entry,3,50,False,Australia,2025-02,2025-04,52,150
Phillip,ACT,2606,AU,Y,2025-02-24,2025-04-22,Single Day Entry,4,50,False,Australia,2025-02,2025-04,57,200
Woolooware,NSW,2230,AU,Y,2025-02-24,2025-04-12,Single Day Entry,2,50,False,Australia,2025-02,2025-04,47,100
Rosemeadow,NSW,2560,AU,Y,2025-02-24,2025-04-16,Single Day Entry,1,50,False,Australia,2025-02,2025-04,51,50
Rosemeadow,NSW,2560,AU,Y,2025-02-24,2025-04-16,Single Day Entry,1,50,False,Australia,2025-02,2025-04,51,50
Rosemeadow,NSW,2560,AU,Y,2025-02-24,2025-04-23,Donation,1,10,False,Australia,2025-02,2025-04,58,10
Miranda,NSW,2228,AU,Y,2025-02-24,2025-04-12,Single Day Entry,2,50,False,Australia,2025-02,2025-04,47,100
Cronulla,NSW,2230,AU,Y,2025-02-24,2025-04-17,Single Day Entry,4,50,False,Australia,2025-02,2025-04,52,200
Wentworth Point,NSW,2127,AU,Y,2025-02-24,2025-04-12,Single Day Entry,8,50,False,Australia,2025-02,2025-04,47,400
Campbelltown,NSW,2560,AU,N,2025-02-24,2025-04-16,Single Day Entry,1,50,False,Australia,2025-02,2025-04,51,50
Kurri Kurri,NSW,2327,AU,Y,2025-02-24,2025-04-17,Single Day Entry,1,50,False,Australia,2025-02,2025-04,52,50
Kurri Kurri,NSW,2327,AU,Y,2025-02-24,2025-04-17,Single Day Entry,1,50,False,Australia,2025-02,2025-04,52,50
nan,,,,N,2025-02-24,2025-04-11,Single Day Entry,1,50,True,International,2025-02,2025-04,46,50
Five Dock,NSW,2046,AU,Y,2025-02-24,2025-04-22,Single Day Entry,1,50,False,Australia,2025-02,2025-04,57,50
North Bondi,NSW,2026,AU,N,2025-02-24,2025-04-12,Single Day Entry,5,50,False,Australia,2025-02,2025-04,47,250
Forestville,NSW,2087,AU,Y,2025-02-24,2025-04-17,Single Day Entry,1,50,False,Australia,2025-02,2025-04,52,50
Wollongong,NSW,2500,AU,Y,2025-02-24,2025-04-16,Single Day Entry,1,50,False,Australia,2025-02,2025-04,51,50
Wollongong,NSW,2500,AU,Y,2025-02-24,2025-04-16,Single Day Entry,1,50,False,Australia,2025-02,2025-04,51,50
Wollongong,NSW,2500,AU,Y,2025-02-24,2025-04-16,Single Day Entry,1,50,False,Australia,2025-02,2025-04,51,50
Ryde,NSW,2112,AU,N,2025-02-24,2025-04-18,Reserved Seating,2,50,False,Australia,2025-02,2025-04,53,100
Ryde,NSW,2112,AU,N,2025-02-24,2025-04-18,Reserved Seating,1,50,False,Australia,2025-02,2025-04,53,50
Lindfield,NSW,2070,AU,Y,2025-02-24,2025-04-17,Single Day Entry,2,50,False,Australia,2025-02,2025-04,52,100
Beaumont Hills,NSW,2155,AU,N,2025-02-24,2025-04-22,Single Day Entry,2,50,False,Australia,2025-02,2025-04,57,100
Beaumont Hills,NSW,2155,AU,N,2025-02-24,2025-04-22,Single Day Entry,1,50,False,Australia,2025-02,2025-04,57,50
Asquith,NSW,2077,AU,Y,2025-02-24,2025-04-17,Single Day Entry,1,50,False,Australia,2025-02,2025-04,52,50
Asquith,NSW,2077,AU,Y,2025-02-24,2025-04-17,Single Day Entry,4,50,False,Australia,2025-02,2025-04,52,200
Sydney,NSW,2110,AU,Y,2025-02-24,2025-04-17,Single Day Entry,1,50,False,Australia,2025-02,2025-04,52,50
Sydney,NSW,2110,AU,Y,2025-02-24,2025-04-17,Single Day Entry,2,50,False,Australia,2025-02,2025-04,52,100
Grafton,NSW,2460,AU,N,2025-02-24,2025-04-18,Reserved Seating,3,50,False,Australia,2025-02,2025-04,53,150
Blacktown,NSW,2770,AU,Y,2025-02-24,2025-04-20,After 4pm Entry,4,35,False,Australia,2025-02,2025-04,55,140
nan,,,,N,2025-02-24,2025-04-15,After 4pm Entry,1,35,True,International,2025-02,2025-04,50,35
Glenmore Park,NSW,2745,AU,N,2025-02-24,2025-04-12,Single Day Entry,1,50,False,Australia,2025-02,2025-04,47,50
Glenmore Park,NSW,2745,AU,N,2025-02-24,2025-04-12,Single Day Entry,1,50,False,Australia,2025-02,2025-04,47,50
Marrickville,NSW,2204,AU,N,2025-02-24,2025-04-22,Single Day Entry,2,50,False,Australia,2025-02,2025-04,57,100
nan,,,,N,2025-02-24,2025-04-17,Single Day Entry,80,50,True,International,2025-02,2025-04,52,4000
Erskine Park,NSW,2759,AU,Y,2025-02-24,2025-04-18,Reserved Seating,2,50,False,Australia,2025-02,2025-04,53,100
Blair Athol,NSW,2560,AU,Y,2025-02-24,2025-04-16,After 4pm Entry,2,35,False,Australia,2025-02,2025-04,51,70
Waratah,NSW,2298,AU,N,2025-02-24,2025-04-16,Single Day Entry,1,50,False,Australia,2025-02,2025-04,51,50
Waratah,NSW,2298,AU,N,2025-02-24,2025-04-16,Single Day Entry,2,50,False,Australia,2025-02,2025-04,51,100
Lithgow,NSW,2790,AU,Y,2025-02-24,2025-04-17,Single Day Entry,2,50,False,Australia,2025-02,2025-04,52,100
nan,,,,N,2025-02-24,2025-04-18,Reserved Seating,1,50,True,International,2025-02,2025-04,53,50
Blaxland,NSW,2774,AU,Y,2025-02-24,2025-04-12,Single Day Entry,2,50,False,Australia,2025-02,2025-04,47,100
Blakehurst,NSW,2221,AU,N,2025-02-24,2025-04-12,Single Day Entry,2,50,False,Australia,2025-02,2025-04,47,100
Ingleburn,NSW,2565,AU,Y,2025-02-24,2025-04-17,Reserved Seating,2,50,False,Australia,2025-02,2025-04,52,100
Castle Hill,NSW,2154,AU,Y,2025-02-24,2025-04-16,Single Day Entry,2,50,False,Australia,2025-02,2025-04,51,100
Castle Hill,NSW,2154,AU,Y,2025-02-24,2025-04-16,Single Day Entry,1,50,False,Australia,2025-02,2025-04,51,50
Castle Hill,NSW,2154,AU,Y,2025-02-24,2025-04-16,Single Day Entry,1,50,False,Australia,2025-02,2025-04,51,50
Petersham,NSW,2049,AU,N,2025-02-24,2025-04-12,Single Day Entry,1,50,False,Australia,2025-02,2025-04,47,50
Petersham,NSW,2049,AU,N,2025-02-24,2025-04-12,Single Day Entry,1,50,False,Australia,2025-02,2025-04,47,50
Melrose Park,NSW,2114,AU,Y,2025-02-24,2025-04-17,Single Day Entry,4,50,False,Australia,2025-02,2025-04,52,200
Bondi Junction,NSW,2022,AU,Y,2025-02-24,2025-04-14,After 4pm Entry,2,35,False,Australia,2025-02,2025-04,49,70
St Ives,NSW,2075,AU,N,2025-02-24,2025-04-16,Big Bush BBQ,4,20,False,Australia,2025-02,2025-04,51,80
St Ives,NSW,2075,AU,N,2025-02-24,2025-04-16,Single Day Entry,2,50,False,Australia,2025-02,2025-04,51,100
St Ives,NSW,2075,AU,N,2025-02-24,2025-04-16,Single Day Entry,2,50,False,Australia,2025-02,2025-04,51,100
Mitchell,ACT,2911,AU,Y,2025-02-24,2025-04-12,Single Day Entry,2,50,False,Australia,2025-02,2025-04,47,100
Murrays Beach,NSW,2281,AU,Y,2025-02-24,2025-04-12,Single Day Entry,4,50,False,Australia,2025-02,2025-04,47,200
Parramatta,NSW,2150,AU,Y,2025-02-24,2025-04-13,Bianco - The Viewing,2,25,False,Australia,2025-02,2025-04,48,50
Woolooware,NSW,2230,AU,Y,2025-02-24,2025-04-12,Single Day Entry,2,50,False,Australia,2025-02,2025-04,47,100
St Clair,NSW,2759,AU,Y,2025-02-25,2025-04-17,Single Day Entry,3,50,False,Australia,2025-02,2025-04,51,150
Bondi Junction,NSW,2022,AU,N,2025-02-26,2025-04-17,Reserved Seating,4,50,False,Australia,2025-02,2025-04,50,200
Ingleburn,NSW,2565,AU,Y,2025-02-27,2025-04-18,Dino Adventures,4,25,False,Australia,2025-02,2025-04,50,100
Ingleburn,NSW,2565,AU,Y,2025-02-28,2025-04-18,Reserved Seating,2,50,False,Australia,2025-02,2025-04,49,100
Ingleburn,NSW,2565,AU,Y,2025-03-01,2025-04-18,Reserved Seating,4,50,False,Australia,2025-03,2025-04,48,200
Ingleburn,NSW,2565,AU,Y,2025-03-02,2025-04-23,Give & Gather Bag,1,15,False,Australia,2025-03,2025-04,52,15
Buff Point,NSW,2262,AU,Y,2025-03-03,2025-04-16,Single Day Entry,1,50,False,Australia,2025-03,2025-04,44,50
Buff Point,NSW,2262,AU,Y,2025-03-04,2025-04-16,Single Day Entry,1,50,False,Australia,2025-03,2025-04,43,50
Carlton,NSW,2218,AU,N,2025-03-05,2025-04-16,Single Day Entry,2,50,False,Australia,2025-03,2025-04,42,100
Mayfield,NSW,2304,AU,Y,2025-03-06,2025-04-12,Single Day Entry,3,50,False,Australia,2025-03,2025-04,37,150
Mayfield,NSW,2304,AU,Y,2025-03-07,2025-04-12,Single Day Entry,1,50,False,Australia,2025-03,2025-04,36,50
Pelaw Main,NSW,2327,AU,N,2025-03-08,2025-04-12,Single Day Entry,2,50,False,Australia,2025-03,2025-04,35,100
Magenta,NSW,2261,AU,Y,2025-03-09,2025-04-12,Single Day Entry,1,50,False,Australia,2025-03,2025-04,34,50
Magenta,NSW,2261,AU,Y,2025-02-24,2025-04-12,Single Day Entry,1,50,False,Australia,2025-02,2025-04,47,50
Magenta,NSW,2261,AU,Y,2025-02-24,2025-04-12,Single Day Entry,2,50,False,Australia,2025-02,2025-04,47,100
Macquarie Fields,NSW,2564,AU,N,2025-02-24,2025-04-12,Single Day Entry,4,50,False,Australia,2025-02,2025-04,47,200
Randwick,NSW,2031,AU,N,2025-02-24,2025-04-12,Single Day Entry,2,50,False,Australia,2025-02,2025-04,47,100
Buttai,NSW,2323,AU,Y,2025-02-24,2025-04-16,Single Day Entry,4,50,False,Australia,2025-02,2025-04,51,200
Merrylands,NSW,2160,AU,N,2025-02-24,2025-04-22,Single Day Entry,1,50,False,Australia,2025-02,2025-04,57,50
Merrylands,NSW,2160,AU,N,2025-02-24,2025-04-22,Single Day Entry,3,50,False,Australia,2025-02,2025-04,57,150
Park Grove,TAS,7320,AU,Y,2025-02-24,2025-04-16,Reserved Seating,4,50,False,Australia,2025-02,2025-04,51,200
Park Grove,TAS,7320,AU,Y,2025-02-24,2025-04-23,Give & Gather Bag,1,15,False,Australia,2025-02,2025-04,58,15
Marsfield,NSW,2122,AU,Y,2025-02-24,2025-04-17,Reserved Seating,1,50,False,Australia,2025-02,2025-04,52,50
Marsfield,NSW,2122,AU,Y,2025-03-09,2025-04-17,Reserved Seating,2,50,False,Australia,2025-03,2025-04,39,100
Marsfield,NSW,2122,AU,Y,2025-03-09,2025-04-17,Reserved Seating,12,50,False,Australia,2025-03,2025-04,39,600
Tregear,NSW,2770,AU,Y,2025-03-09,2025-04-12,Single Day Entry,1,50,False,Australia,2025-03,2025-04,34,50
Tregear,NSW,2770,AU,Y,2025-03-09,2025-04-12,Single Day Entry,1,50,False,Australia,2025-03,2025-04,34,50
Tregear,NSW,2770,AU,Y,2025-03-09,2025-04-12,Single Day Entry,3,50,False,Australia,2025-03,2025-04,34,150
Dapto,NSW,2530,AU,Y,2025-03-09,2025-04-12,Single Day Entry,1,50,False,Australia,2025-03,2025-04,34,50
Dapto,NSW,2530,AU,Y,2025-03-09,2025-04-12,Single Day Entry,1,50,False,Australia,2025-03,2025-04,34,50
Seven Hills,NSW,2147,AU,Y,2025-02-24,2025-04-12,Single Day Entry,1,50,False,Australia,2025-02,2025-04,47,50
Seven Hills,NSW,2147,AU,Y,2025-02-24,2025-04-12,Single Day Entry,1,50,False,Australia,2025-02,2025-04,47,50
Seven Hills,NSW,2147,AU,Y,2025-02-24,2025-04-12,Single Day Entry,1,50,False,Australia,2025-02,2025-04,47,50
Hornsby,NSW,2077,AU,Y,2025-02-24,2025-04-20,After 4pm Entry,2,35,False,Australia,2025-02,2025-04,55,70
Gillieston Heights,NSW,2321,AU,Y,2025-02-24,2025-04-12,Single Day Entry,1,50,False,Australia,2025-02,2025-04,47,50
